time,total load actual,total load forecast,price actual,price day ahead
2015-01-01 00:00:00+01:00,25385.0,26118.0,65.41,50.1
2015-01-01 01:00:00+01:00,24382.0,24934.0,64.92,48.1
2015-01-01 02:00:00+01:00,22734.0,23515.0,64.48,47.33
2015-01-01 03:00:00+01:00,21286.0,22642.0,59.32,42.27
2015-01-01 04:00:00+01:00,20264.0,21785.0,56.04,38.41
2015-01-01 05:00:00+01:00,19905.0,21441.0,53.63,35.72
2015-01-01 06:00:00+01:00,20010.0,21285.0,51.73,35.13
2015-01-01 07:00:00+01:00,20377.0,21545.0,51.43,36.22
2015-01-01 08:00:00+01:00,20094.0,21443.0,48.98,32.4
2015-01-01 09:00:00+01:00,20637.0,21560.0,54.2,36.6
2015-01-01 10:00:00+01:00,22250.0,22824.0,58.94,43.1
2015-01-01 11:00:00+01:00,23547.0,23720.0,59.86,45.14
2015-01-01 12:00:00+01:00,24133.0,24180.0,60.12,45.14
2015-01-01 13:00:00+01:00,24713.0,24797.0,62.05,47.35
2015-01-01 14:00:00+01:00,24672.0,25222.0,62.06,47.35
2015-01-01 15:00:00+01:00,23528.0,24173.0,59.76,43.61
2015-01-01 16:00:00+01:00,23118.0,23659.0,61.18,44.91
2015-01-01 17:00:00+01:00,23606.0,23982.0,64.74,48.1
2015-01-01 18:00:00+01:00,26447.0,26981.0,74.26,58.02
2015-01-01 19:00:00+01:00,28020.0,28515.0,74.24,61.01
2015-01-01 20:00:00+01:00,29014.0,30482.0,75.64,62.69
2015-01-01 21:00:00+01:00,29571.0,30739.0,73.92,60.41
2015-01-01 22:00:00+01:00,29031.0,29756.0,70.53,58.15
2015-01-01 23:00:00+01:00,26798.0,27589.0,64.13,53.6
2015-01-02 00:00:00+01:00,27070.0,27309.0,64.02,10.0
2015-01-02 01:00:00+01:00,24935.0,25397.0,58.46,7.0
2015-01-02 02:00:00+01:00,23214.0,23640.0,54.7,5.0
2015-01-02 03:00:00+01:00,22540.0,22638.0,54.91,4.0
2015-01-02 04:00:00+01:00,22096.0,22238.0,53.07,4.0
2015-01-02 05:00:00+01:00,22066.0,22299.0,54.23,4.8
2015-01-02 06:00:00+01:00,22275.0,22660.0,58.22,5.0
2015-01-02 07:00:00+01:00,23025.0,23449.0,67.55,7.04
2015-01-02 08:00:00+01:00,23699.0,24067.0,70.33,7.04
2015-01-02 09:00:00+01:00,25834.0,25737.0,71.26,7.88
2015-01-02 10:00:00+01:00,27927.0,27883.0,75.86,10.71
2015-01-02 11:00:00+01:00,29072.0,28969.0,73.65,10.0
2015-01-02 12:00:00+01:00,29071.0,28894.0,74.19,7.04
2015-01-02 13:00:00+01:00,29439.0,29460.0,71.51,7.0
2015-01-02 14:00:00+01:00,29241.0,29389.0,71.04,6.33
2015-01-02 15:00:00+01:00,27973.0,28231.0,71.24,5.0
2015-01-02 16:00:00+01:00,27320.0,27716.0,70.64,6.21
2015-01-02 17:00:00+01:00,27157.0,27981.0,72.85,9.98
2015-01-02 18:00:00+01:00,29045.0,30136.0,82.55,33.15
2015-01-02 19:00:00+01:00,31967.0,32754.0,83.33,50.0
2015-01-02 20:00:00+01:00,33266.0,33968.0,83.23,52.01
2015-01-02 21:00:00+01:00,33668.0,33870.0,79.06,50.01
2015-01-02 22:00:00+01:00,32426.0,32715.0,76.2,45.8
2015-01-02 23:00:00+01:00,29705.0,30052.0,71.75,41.74
2015-01-03 00:00:00+01:00,25564.0,26323.0,66.82,35.62
2015-01-03 01:00:00+01:00,23584.0,24301.0,63.35,27.1
2015-01-03 02:00:00+01:00,22194.0,22651.0,58.79,25.0
2015-01-03 03:00:00+01:00,21296.0,21785.0,57.44,20.01
2015-01-03 04:00:00+01:00,21145.0,21418.0,55.29,17.1
2015-01-03 05:00:00+01:00,21316.0,21317.0,56.22,17.22
2015-01-03 06:00:00+01:00,21674.0,21768.0,58.13,20.14
2015-01-03 07:00:00+01:00,22127.0,22276.0,62.06,19.87
2015-01-03 08:00:00+01:00,22756.0,22674.0,67.36,20.22
2015-01-03 09:00:00+01:00,24654.0,24595.0,69.21,25.22
2015-01-03 10:00:00+01:00,26454.0,26431.0,70.35,25.13
2015-01-03 11:00:00+01:00,26959.0,27260.0,68.77,27.1
2015-01-03 12:00:00+01:00,26716.0,27165.0,68.82,28.71
2015-01-03 13:00:00+01:00,26802.0,27449.0,68.23,25.0
2015-01-03 14:00:00+01:00,26416.0,27154.0,67.97,23.68
2015-01-03 15:00:00+01:00,25362.0,26011.0,62.76,14.87
2015-01-03 16:00:00+01:00,24770.0,25162.0,62.03,11.7
2015-01-03 17:00:00+01:00,24501.0,24691.0,66.69,19.52
2015-01-03 18:00:00+01:00,24992.0,25293.0,71.5,25.13
2015-01-03 19:00:00+01:00,27964.0,28421.0,72.14,39.71
2015-01-03 20:00:00+01:00,29694.0,30293.0,72.45,44.0
2015-01-03 21:00:00+01:00,29874.0,30828.0,72.86,41.21
2015-01-03 22:00:00+01:00,28979.0,29896.0,70.1,35.69
2015-01-03 23:00:00+01:00,26863.0,27700.0,67.62,30.23
2015-01-04 00:00:00+01:00,25254.0,25481.0,55.22,24.65
2015-01-04 01:00:00+01:00,23620.0,23734.0,50.54,20.2
2015-01-04 02:00:00+01:00,22606.0,22658.0,48.68,19.16
2015-01-04 03:00:00+01:00,22191.0,22130.0,48.02,21.9
2015-01-04 04:00:00+01:00,21929.0,21879.0,47.06,14.9
2015-01-04 05:00:00+01:00,22195.0,22230.0,46.79,24.65
2015-01-04 06:00:00+01:00,24035.0,23903.0,47.63,28.01
2015-01-04 07:00:00+01:00,26807.0,26742.0,47.44,27.51
2015-01-04 08:00:00+01:00,28316.0,28481.0,50.84,33.96
2015-01-04 09:00:00+01:00,29871.0,29705.0,54.84,38.0
2015-01-04 10:00:00+01:00,30585.0,30656.0,59.95,37.17
2015-01-04 11:00:00+01:00,30772.0,30717.0,59.35,35.01
2015-01-04 12:00:00+01:00,30685.0,30616.0,57.03,38.0
2015-01-04 13:00:00+01:00,30429.0,30287.0,59.22,38.12
2015-01-04 14:00:00+01:00,28741.0,29451.0,58.56,30.4
2015-01-04 15:00:00+01:00,28249.0,28730.0,52.07,27.58
2015-01-04 16:00:00+01:00,28105.0,28393.0,52.15,27.56
2015-01-04 17:00:00+01:00,27908.0,28062.0,61.12,27.5
2015-01-04 18:00:00+01:00,27577.0,27317.0,71.98,26.53
2015-01-04 19:00:00+01:00,27418.0,27189.0,74.64,30.0
2015-01-04 20:00:00+01:00,28604.0,28914.0,75.38,39.7
2015-01-04 21:00:00+01:00,30346.0,30333.0,76.49,40.48
2015-01-04 22:00:00+01:00,28190.0,28341.0,73.83,37.97
2015-01-04 23:00:00+01:00,26270.0,26412.0,69.51,28.0
2015-01-05 00:00:00+01:00,25069.0,25149.0,70.77,43.49
2015-01-05 01:00:00+01:00,23390.0,23630.0,64.89,35.5
2015-01-05 02:00:00+01:00,21988.0,22590.0,60.91,35.2
2015-01-05 03:00:00+01:00,21182.0,21912.0,59.68,35.2
2015-01-05 04:00:00+01:00,20778.0,21369.0,58.04,30.6
2015-01-05 05:00:00+01:00,20309.0,20723.0,59.57,30.6
2015-01-05 06:00:00+01:00,20252.0,20498.0,69.73,30.6
2015-01-05 07:00:00+01:00,19964.0,19736.0,72.97,30.0
2015-01-05 08:00:00+01:00,20796.0,19970.0,77.92,30.6
2015-01-05 09:00:00+01:00,22478.0,21590.0,79.59,35.3
2015-01-05 10:00:00+01:00,23834.0,22987.0,81.75,35.2
2015-01-05 11:00:00+01:00,24429.0,23271.0,80.82,35.4
2015-01-05 12:00:00+01:00,,23209.0,79.14,35.5
2015-01-05 13:00:00+01:00,,23725.0,73.95,36.8
2015-01-05 14:00:00+01:00,,23614.0,71.93,32.5
2015-01-05 15:00:00+01:00,,22381.0,71.5,30.0
2015-01-05 16:00:00+01:00,,21371.0,71.85,30.0
2015-01-05 17:00:00+01:00,,20760.0,80.53,30.6
2015-01-05 18:00:00+01:00,21888.0,20654.0,89.08,42.01
2015-01-05 19:00:00+01:00,22048.0,20904.0,90.97,51.4
2015-01-05 20:00:00+01:00,22858.0,22334.0,88.51,55.35
2015-01-05 21:00:00+01:00,25604.0,25504.0,82.85,62.0
2015-01-05 22:00:00+01:00,25381.0,25938.0,80.52,60.01
2015-01-05 23:00:00+01:00,23822.0,23892.0,72.18,57.6
2015-01-06 00:00:00+01:00,23711.0,24086.0,71.48,53.01
2015-01-06 01:00:00+01:00,22354.0,22554.0,64.76,45.65
2015-01-06 02:00:00+01:00,21546.0,21566.0,60.22,44.04
2015-01-06 03:00:00+01:00,21171.0,21211.0,57.14,43.58
2015-01-06 04:00:00+01:00,21042.0,21074.0,53.94,43.98
2015-01-06 05:00:00+01:00,21618.0,21579.0,53.43,44.91
2015-01-06 06:00:00+01:00,23433.0,23250.0,56.68,51.0
2015-01-06 07:00:00+01:00,25885.0,25560.0,63.49,55.76
2015-01-06 08:00:00+01:00,28456.0,27900.0,66.75,59.95
2015-01-06 09:00:00+01:00,29708.0,29463.0,73.07,60.5
2015-01-06 10:00:00+01:00,30887.0,30133.0,78.95,61.29
2015-01-06 11:00:00+01:00,31409.0,30558.0,75.91,61.69
2015-01-06 12:00:00+01:00,31947.0,31035.0,73.12,61.95
2015-01-06 13:00:00+01:00,32078.0,31154.0,68.02,61.29
2015-01-06 14:00:00+01:00,31193.0,30381.0,66.67,60.09
2015-01-06 15:00:00+01:00,30542.0,29581.0,65.08,60.5
2015-01-06 16:00:00+01:00,30591.0,29085.0,66.1,60.69
2015-01-06 17:00:00+01:00,30799.0,29155.0,72.0,60.69
2015-01-06 18:00:00+01:00,30481.0,28943.0,78.6,58.9
2015-01-06 19:00:00+01:00,30147.0,29013.0,81.18,57.0
2015-01-06 20:00:00+01:00,30120.0,29307.0,81.65,57.0
2015-01-06 21:00:00+01:00,30747.0,29896.0,78.63,59.88
2015-01-06 22:00:00+01:00,29978.0,29310.0,73.2,59.6
2015-01-06 23:00:00+01:00,27421.0,26817.0,72.46,55.76
2015-01-07 00:00:00+01:00,30518.0,30239.0,67.24,59.52
2015-01-07 01:00:00+01:00,28484.0,28031.0,64.17,51.1
2015-01-07 02:00:00+01:00,27026.0,26635.0,62.12,47.03
2015-01-07 03:00:00+01:00,26248.0,26076.0,62.11,48.5
2015-01-07 04:00:00+01:00,25838.0,25734.0,60.05,48.79
2015-01-07 05:00:00+01:00,26021.0,25889.0,62.48,50.51
2015-01-07 06:00:00+01:00,26992.0,27135.0,70.01,59.13
2015-01-07 07:00:00+01:00,28625.0,29269.0,75.2,60.8
2015-01-07 08:00:00+01:00,31015.0,31596.0,83.3,61.87
2015-01-07 09:00:00+01:00,33276.0,33540.0,93.14,64.23
2015-01-07 10:00:00+01:00,34221.0,34919.0,100.45,66.5
2015-01-07 11:00:00+01:00,34796.0,35376.0,95.17,67.1
2015-01-07 12:00:00+01:00,35535.0,36279.0,85.23,66.1
2015-01-07 13:00:00+01:00,35752.0,36886.0,81.5,65.0
2015-01-07 14:00:00+01:00,35605.0,36199.0,77.29,59.75
2015-01-07 15:00:00+01:00,36020.0,35918.0,76.61,59.61
2015-01-07 16:00:00+01:00,36066.0,36366.0,77.15,59.53
2015-01-07 17:00:00+01:00,36195.0,36676.0,79.51,61.1
2015-01-07 18:00:00+01:00,35739.0,36275.0,91.05,61.1
2015-01-07 19:00:00+01:00,35188.0,35664.0,95.29,61.1
2015-01-07 20:00:00+01:00,34470.0,34828.0,91.25,61.87
2015-01-07 21:00:00+01:00,33716.0,34241.0,87.08,63.71
2015-01-07 22:00:00+01:00,32697.0,33972.0,78.15,64.1
2015-01-07 23:00:00+01:00,30477.0,32057.0,75.07,59.13
2015-01-08 00:00:00+01:00,26788.0,27766.0,73.73,49.0
2015-01-08 01:00:00+01:00,25146.0,26176.0,70.99,46.86
2015-01-08 02:00:00+01:00,23889.0,24974.0,68.3,45.68
2015-01-08 03:00:00+01:00,23046.0,24173.0,64.22,44.99
2015-01-08 04:00:00+01:00,22587.0,23779.0,63.53,44.81
2015-01-08 05:00:00+01:00,22361.0,23503.0,66.7,44.68
2015-01-08 06:00:00+01:00,22551.0,23493.0,69.79,44.81
2015-01-08 07:00:00+01:00,22543.0,23562.0,75.57,44.81
2015-01-08 08:00:00+01:00,24042.0,24929.0,82.36,46.85
2015-01-08 09:00:00+01:00,25932.0,27227.0,87.03,49.0
2015-01-08 10:00:00+01:00,27664.0,29193.0,91.08,54.36
2015-01-08 11:00:00+01:00,28448.0,29950.0,89.29,61.98
2015-01-08 12:00:00+01:00,28881.0,30333.0,85.45,62.47
2015-01-08 13:00:00+01:00,29329.0,30711.0,80.33,62.93
2015-01-08 14:00:00+01:00,29026.0,30055.0,77.33,61.98
2015-01-08 15:00:00+01:00,28237.0,29123.0,77.03,57.48
2015-01-08 16:00:00+01:00,27868.0,28632.0,78.15,54.38
2015-01-08 17:00:00+01:00,27654.0,28356.0,80.48,54.36
2015-01-08 18:00:00+01:00,27507.0,28124.0,90.87,52.04
2015-01-08 19:00:00+01:00,27544.0,27922.0,94.11,54.38
2015-01-08 20:00:00+01:00,27578.0,27925.0,90.26,60.33
2015-01-08 21:00:00+01:00,28222.0,28578.0,84.66,66.0
2015-01-08 22:00:00+01:00,28221.0,28862.0,77.05,63.6
2015-01-08 23:00:00+01:00,26436.0,27334.0,73.14,55.5
2015-01-09 00:00:00+01:00,27485.0,27430.0,67.7,60.47
2015-01-09 01:00:00+01:00,25750.0,25783.0,61.05,52.88
2015-01-09 02:00:00+01:00,24760.0,24718.0,59.61,48.62
2015-01-09 03:00:00+01:00,24188.0,24185.0,58.65,47.69
2015-01-09 04:00:00+01:00,23840.0,23980.0,58.4,45.85
2015-01-09 05:00:00+01:00,24030.0,24139.0,59.77,45.78
2015-01-09 06:00:00+01:00,25965.0,25737.0,68.38,49.3
2015-01-09 07:00:00+01:00,28266.0,27995.0,75.5,55.93
2015-01-09 08:00:00+01:00,29981.0,29747.0,81.67,60.47
2015-01-09 09:00:00+01:00,31932.0,31824.0,85.8,57.5
2015-01-09 10:00:00+01:00,33325.0,33063.0,92.0,59.57
2015-01-09 11:00:00+01:00,34144.0,33748.0,89.66,60.47
2015-01-09 12:00:00+01:00,35040.0,34392.0,85.5,63.52
2015-01-09 13:00:00+01:00,35524.0,34891.0,81.22,63.69
2015-01-09 14:00:00+01:00,34579.0,33853.0,77.08,60.47
2015-01-09 15:00:00+01:00,33792.0,32981.0,77.33,60.1
2015-01-09 16:00:00+01:00,33768.0,32846.0,80.09,62.53
2015-01-09 17:00:00+01:00,33696.0,32833.0,81.64,63.01
2015-01-09 18:00:00+01:00,33154.0,32283.0,88.51,62.29
2015-01-09 19:00:00+01:00,32440.0,31942.0,89.0,61.51
2015-01-09 20:00:00+01:00,32384.0,32045.0,87.11,65.5
2015-01-09 21:00:00+01:00,33976.0,33356.0,82.13,67.67
2015-01-09 22:00:00+01:00,31420.0,31269.0,78.39,61.51
2015-01-09 23:00:00+01:00,28825.0,28845.0,72.17,54.9
2015-01-10 00:00:00+01:00,24899.0,24575.0,61.8,56.65
2015-01-10 01:00:00+01:00,23505.0,23348.0,59.46,53.5
2015-01-10 02:00:00+01:00,22589.0,22480.0,55.97,49.69
2015-01-10 03:00:00+01:00,22177.0,22330.0,55.03,49.1
2015-01-10 04:00:00+01:00,22025.0,22165.0,54.53,51.25
2015-01-10 05:00:00+01:00,22426.0,22491.0,55.44,53.6
2015-01-10 06:00:00+01:00,24361.0,24284.0,57.22,58.02
2015-01-10 07:00:00+01:00,27890.0,27772.0,63.84,63.03
2015-01-10 08:00:00+01:00,29335.0,29263.0,71.4,63.56
2015-01-10 09:00:00+01:00,29951.0,29664.0,74.51,64.66
2015-01-10 10:00:00+01:00,30452.0,30369.0,77.05,63.9
2015-01-10 11:00:00+01:00,30856.0,30650.0,75.49,61.9
2015-01-10 12:00:00+01:00,31449.0,30964.0,74.23,60.9
2015-01-10 13:00:00+01:00,31218.0,30930.0,74.0,59.8
2015-01-10 14:00:00+01:00,30458.0,29821.0,72.86,56.8
2015-01-10 15:00:00+01:00,29836.0,29284.0,69.68,53.6
2015-01-10 16:00:00+01:00,29781.0,29705.0,68.36,53.5
2015-01-10 17:00:00+01:00,29929.0,29953.0,71.77,54.9
2015-01-10 18:00:00+01:00,29638.0,29914.0,77.55,55.26
2015-01-10 19:00:00+01:00,29950.0,29920.0,78.67,61.0
2015-01-10 20:00:00+01:00,32244.0,32363.0,78.46,61.69
2015-01-10 21:00:00+01:00,31900.0,31869.0,78.1,61.0
2015-01-10 22:00:00+01:00,28690.0,28549.0,70.98,56.8
2015-01-10 23:00:00+01:00,26219.0,26142.0,62.14,53.0
2015-01-11 00:00:00+01:00,22460.0,22654.0,60.35,53.21
2015-01-11 01:00:00+01:00,21033.0,21215.0,54.98,36.1
2015-01-11 02:00:00+01:00,19977.0,20177.0,53.36,34.0
2015-01-11 03:00:00+01:00,19389.0,19623.0,52.62,31.0
2015-01-11 04:00:00+01:00,19126.0,19453.0,49.17,25.17
2015-01-11 05:00:00+01:00,19199.0,19430.0,47.97,25.46
2015-01-11 06:00:00+01:00,19404.0,19825.0,49.1,26.56
2015-01-11 07:00:00+01:00,19500.0,20080.0,49.91,26.25
2015-01-11 08:00:00+01:00,20182.0,20529.0,51.53,26.26
2015-01-11 09:00:00+01:00,22121.0,22303.0,55.87,27.3
2015-01-11 10:00:00+01:00,23589.0,23863.0,55.81,27.42
2015-01-11 11:00:00+01:00,24238.0,24372.0,54.7,27.87
2015-01-11 12:00:00+01:00,24271.0,24563.0,52.89,28.24
2015-01-11 13:00:00+01:00,24713.0,24976.0,54.58,27.49
2015-01-11 14:00:00+01:00,24477.0,24827.0,54.82,27.27
2015-01-11 15:00:00+01:00,23377.0,23696.0,52.08,24.14
2015-01-11 16:00:00+01:00,23037.0,23021.0,52.05,24.65
2015-01-11 17:00:00+01:00,23049.0,23123.0,55.59,31.0
2015-01-11 18:00:00+01:00,25259.0,25036.0,77.6,41.7
2015-01-11 19:00:00+01:00,26520.0,26555.0,80.36,50.34
2015-01-11 20:00:00+01:00,27123.0,26981.0,82.29,46.48
2015-01-11 21:00:00+01:00,27025.0,27054.0,82.47,40.0
2015-01-11 22:00:00+01:00,25889.0,25990.0,78.06,36.9
2015-01-11 23:00:00+01:00,23940.0,23997.0,70.13,32.79
2015-01-12 00:00:00+01:00,27085.0,27051.0,60.81,66.17
2015-01-12 01:00:00+01:00,25272.0,25157.0,58.27,61.57
2015-01-12 02:00:00+01:00,24121.0,24059.0,53.65,56.7
2015-01-12 03:00:00+01:00,23626.0,23630.0,51.95,54.5
2015-01-12 04:00:00+01:00,23572.0,23522.0,51.4,53.96
2015-01-12 05:00:00+01:00,24070.0,24139.0,52.93,56.7
2015-01-12 06:00:00+01:00,26787.0,26643.0,58.8,62.69
2015-01-12 07:00:00+01:00,31511.0,31303.0,70.52,69.37
2015-01-12 08:00:00+01:00,34046.0,34166.0,75.72,68.0
2015-01-12 09:00:00+01:00,34876.0,34902.0,81.92,70.5
2015-01-12 10:00:00+01:00,35093.0,35302.0,85.63,70.5
2015-01-12 11:00:00+01:00,34588.0,34926.0,86.76,68.5
2015-01-12 12:00:00+01:00,34347.0,34461.0,82.78,67.2
2015-01-12 13:00:00+01:00,34146.0,34077.0,76.7,66.46
2015-01-12 14:00:00+01:00,32884.0,32951.0,74.35,64.76
2015-01-12 15:00:00+01:00,32422.0,32532.0,73.6,64.76
2015-01-12 16:00:00+01:00,32502.0,32380.0,74.74,65.23
2015-01-12 17:00:00+01:00,33509.0,33392.0,76.34,66.5
2015-01-12 18:00:00+01:00,35896.0,36018.0,84.23,72.5
2015-01-12 19:00:00+01:00,36615.0,36757.0,87.72,72.58
2015-01-12 20:00:00+01:00,36704.0,36901.0,86.54,72.07
2015-01-12 21:00:00+01:00,35823.0,35903.0,81.3,68.8
2015-01-12 22:00:00+01:00,32932.0,32853.0,69.06,65.23
2015-01-12 23:00:00+01:00,29695.0,29696.0,62.43,63.29
2015-01-13 00:00:00+01:00,28033.0,28161.0,55.61,46.17
2015-01-13 01:00:00+01:00,25750.0,25814.0,52.54,42.0
2015-01-13 02:00:00+01:00,24517.0,24609.0,50.97,40.8
2015-01-13 03:00:00+01:00,23911.0,24062.0,49.57,39.69
2015-01-13 04:00:00+01:00,23876.0,23903.0,48.74,39.2
2015-01-13 05:00:00+01:00,24445.0,24462.0,49.56,40.0
2015-01-13 06:00:00+01:00,27027.0,27029.0,53.96,44.93
2015-01-13 07:00:00+01:00,31924.0,31669.0,65.89,58.34
2015-01-13 08:00:00+01:00,35351.0,35277.0,73.97,62.2
2015-01-13 09:00:00+01:00,36288.0,36330.0,78.25,66.2
2015-01-13 10:00:00+01:00,36612.0,36982.0,83.44,68.52
2015-01-13 11:00:00+01:00,36296.0,36787.0,81.74,66.49
2015-01-13 12:00:00+01:00,35645.0,36279.0,78.22,63.31
2015-01-13 13:00:00+01:00,35172.0,35781.0,74.18,61.84
2015-01-13 14:00:00+01:00,33895.0,34485.0,69.45,57.46
2015-01-13 15:00:00+01:00,33283.0,33826.0,69.58,57.59
2015-01-13 16:00:00+01:00,33030.0,33745.0,72.97,60.69
2015-01-13 17:00:00+01:00,33542.0,34067.0,75.59,62.56
2015-01-13 18:00:00+01:00,35944.0,36388.0,86.26,67.11
2015-01-13 19:00:00+01:00,37553.0,37797.0,88.57,70.2
2015-01-13 20:00:00+01:00,37604.0,37691.0,87.32,69.1
2015-01-13 21:00:00+01:00,36831.0,36952.0,80.78,63.89
2015-01-13 22:00:00+01:00,33972.0,34327.0,77.41,61.84
2015-01-13 23:00:00+01:00,30733.0,31228.0,67.0,54.96
2015-01-14 00:00:00+01:00,28057.0,28401.0,60.23,48.04
2015-01-14 01:00:00+01:00,25764.0,25944.0,54.69,43.22
2015-01-14 02:00:00+01:00,24495.0,24597.0,53.88,43.05
2015-01-14 03:00:00+01:00,23887.0,24158.0,53.19,43.21
2015-01-14 04:00:00+01:00,23892.0,24076.0,52.57,43.05
2015-01-14 05:00:00+01:00,24438.0,24612.0,57.13,46.83
2015-01-14 06:00:00+01:00,27040.0,27154.0,70.06,60.69
2015-01-14 07:00:00+01:00,31798.0,32225.0,76.53,68.03
2015-01-14 08:00:00+01:00,35150.0,35671.0,83.97,71.46
2015-01-14 09:00:00+01:00,35953.0,36366.0,92.24,78.9
2015-01-14 10:00:00+01:00,36439.0,36501.0,97.95,81.12
2015-01-14 11:00:00+01:00,36048.0,36304.0,94.52,77.15
2015-01-14 12:00:00+01:00,35561.0,35821.0,86.31,71.15
2015-01-14 13:00:00+01:00,35186.0,35422.0,79.91,68.25
2015-01-14 14:00:00+01:00,33909.0,34070.0,76.06,63.89
2015-01-14 15:00:00+01:00,33322.0,33419.0,75.64,63.01
2015-01-14 16:00:00+01:00,33330.0,33189.0,77.09,64.89
2015-01-14 17:00:00+01:00,33811.0,33748.0,79.62,67.11
2015-01-14 18:00:00+01:00,36114.0,36210.0,88.06,69.96
2015-01-14 19:00:00+01:00,37535.0,38021.0,88.75,70.52
2015-01-14 20:00:00+01:00,37633.0,38219.0,86.91,68.75
2015-01-14 21:00:00+01:00,36809.0,37223.0,79.91,62.99
2015-01-14 22:00:00+01:00,33939.0,34534.0,70.11,55.0
2015-01-14 23:00:00+01:00,30630.0,31369.0,59.27,45.67
2015-01-15 00:00:00+01:00,27865.0,28158.0,49.14,39.0
2015-01-15 01:00:00+01:00,25617.0,25897.0,45.38,35.0
2015-01-15 02:00:00+01:00,24269.0,24636.0,43.68,34.73
2015-01-15 03:00:00+01:00,23940.0,23966.0,42.49,33.04
2015-01-15 04:00:00+01:00,23762.0,23884.0,40.7,32.25
2015-01-15 05:00:00+01:00,24485.0,24391.0,41.48,33.0
2015-01-15 06:00:00+01:00,26919.0,26919.0,46.24,38.0
2015-01-15 07:00:00+01:00,31608.0,31770.0,56.67,48.62
2015-01-15 08:00:00+01:00,34804.0,35369.0,69.9,57.59
2015-01-15 09:00:00+01:00,35815.0,36242.0,76.22,63.01
2015-01-15 10:00:00+01:00,36260.0,36975.0,79.18,64.0
2015-01-15 11:00:00+01:00,35996.0,36838.0,77.66,62.01
2015-01-15 12:00:00+01:00,35539.0,36431.0,70.25,54.87
2015-01-15 13:00:00+01:00,35240.0,36047.0,57.96,45.3
2015-01-15 14:00:00+01:00,34028.0,34655.0,54.4,41.35
2015-01-15 15:00:00+01:00,33573.0,34111.0,53.87,40.8
2015-01-15 16:00:00+01:00,33637.0,34190.0,57.8,45.03
2015-01-15 17:00:00+01:00,34151.0,34596.0,65.77,52.47
2015-01-15 18:00:00+01:00,36202.0,36820.0,78.95,61.69
2015-01-15 19:00:00+01:00,37469.0,38704.0,80.36,63.43
2015-01-15 20:00:00+01:00,37299.0,38572.0,79.38,62.01
2015-01-15 21:00:00+01:00,36325.0,37657.0,70.31,54.12
2015-01-15 22:00:00+01:00,33848.0,34804.0,56.77,42.35
2015-01-15 23:00:00+01:00,30737.0,31605.0,53.49,40.13
2015-01-16 00:00:00+01:00,28342.0,28330.0,45.92,36.0
2015-01-16 01:00:00+01:00,26119.0,26071.0,43.7,34.0
2015-01-16 02:00:00+01:00,24683.0,24619.0,42.91,33.04
2015-01-16 03:00:00+01:00,24147.0,24127.0,42.15,33.04
2015-01-16 04:00:00+01:00,24030.0,23954.0,42.73,33.73
2015-01-16 05:00:00+01:00,24561.0,24612.0,45.02,35.0
2015-01-16 06:00:00+01:00,27025.0,27024.0,50.41,40.69
2015-01-16 07:00:00+01:00,31518.0,31796.0,66.58,57.93
2015-01-16 08:00:00+01:00,34642.0,35288.0,78.3,64.89
2015-01-16 09:00:00+01:00,35662.0,36377.0,85.84,70.52
2015-01-16 10:00:00+01:00,36343.0,36967.0,89.11,71.25
2015-01-16 11:00:00+01:00,36335.0,36823.0,85.59,68.69
2015-01-16 12:00:00+01:00,35955.0,36450.0,78.55,62.56
2015-01-16 13:00:00+01:00,35583.0,36098.0,71.22,58.34
2015-01-16 14:00:00+01:00,34322.0,34828.0,61.29,48.84
2015-01-16 15:00:00+01:00,33777.0,34019.0,59.4,46.25
2015-01-16 16:00:00+01:00,33460.0,33853.0,66.69,54.02
2015-01-16 17:00:00+01:00,33784.0,34258.0,71.61,58.98
2015-01-16 18:00:00+01:00,35633.0,36326.0,82.21,63.52
2015-01-16 19:00:00+01:00,36821.0,37410.0,84.46,66.94
2015-01-16 20:00:00+01:00,36669.0,37004.0,82.09,64.89
2015-01-16 21:00:00+01:00,36015.0,36315.0,76.0,59.88
2015-01-16 22:00:00+01:00,33847.0,34030.0,68.82,55.02
2015-01-16 23:00:00+01:00,31243.0,31310.0,58.81,45.34
2015-01-17 00:00:00+01:00,28889.0,29129.0,50.65,36.54
2015-01-17 01:00:00+01:00,26782.0,26616.0,47.98,33.8
2015-01-17 02:00:00+01:00,25083.0,24814.0,46.67,33.04
2015-01-17 03:00:00+01:00,24086.0,23925.0,46.66,33.04
2015-01-17 04:00:00+01:00,23651.0,23574.0,45.48,33.04
2015-01-17 05:00:00+01:00,23539.0,23512.0,46.52,34.0
2015-01-17 06:00:00+01:00,24025.0,24045.0,47.61,36.0
2015-01-17 07:00:00+01:00,25467.0,25660.0,51.97,41.19
2015-01-17 08:00:00+01:00,27120.0,27391.0,58.88,48.2
2015-01-17 09:00:00+01:00,29980.0,30302.0,68.81,60.64
2015-01-17 10:00:00+01:00,32225.0,32302.0,73.52,64.88
2015-01-17 11:00:00+01:00,32480.0,32532.0,73.67,64.88
2015-01-17 12:00:00+01:00,31863.0,31904.0,71.88,62.5
2015-01-17 13:00:00+01:00,31659.0,31786.0,68.06,58.69
2015-01-17 14:00:00+01:00,30894.0,31219.0,58.83,47.0
2015-01-17 15:00:00+01:00,29725.0,29977.0,51.47,40.4
